"","SchoolName","City","State","District","Award","Model"
"21","ROSE CITY MIDDLE SCHOOL","NORTH LITTLE ROCK","AR","N. LITTLE ROCK SCHOOL DISTRICT",647,"Transformation"
"22","TRUSTY ELEMENTARY SCHOOL","FORT SMITH","AR","FORT SMITH SCHOOL DISTRICT",646,"Transformation"
"23","J.A. FAIR HIGH SCHOOL","LITTLE ROCK","AR","LITTLE ROCK SCHOOL DISTRICT",208,"Transformation"
"24","OSCEOLA HIGH SCHOOL","OSCEOLA","AR","OSCEOLA SCHOOL DISTRICT",501,"Transformation"
"25","CLOVERDALE MIDDLE SCHOOL","LITTLE ROCK","AR","LITTLE ROCK SCHOOL DISTRICT",214,"Transformation"
"26","GADSDEN ELEMENTARY SCHOOL","GADSDEN","AZ","GADSDEN ELEMENTARY DISTRICT",588,"Transformation"
"27","EAST VALLEY HIGH SCHOOL","MESA","AZ","LEGACY EDUCATION GROUP",309,"Turnaround"
"28","CRITTENTON YOUTH ACADEMY","PHOENIX","AZ","FLORENCE CRITTENTON SERVICES OF ARIZONA  INC.",616,"Turnaround"
"29","ALCHESAY HIGH SCHOOL","WHITERIVER","AZ","WHITERIVER UNIFIED DISTRICT",576,"Transformation"
"30","SAN CARLOS HIGH SCHOOL","SAN CARLOS","AZ","SAN CARLOS UNIFIED DISTRICT",624,"Transformation"
"31","PIMA PARTNERSHIP SCHOOL  THE","TUCSON","AZ","PIMA PREVENTION PARTNERSHIP DBA PIMA PARTNERSHIP SCHOOL  THE",580,"Turnaround"
"32","LA PUERTA HIGH SCHOOL","PHOENIX","AZ","OMEGA SCHOOLS D.B.A. OMEGA ACADEMY  INC.",466,"Turnaround"
"33","PROJECT MORE HIGH SCHOOL","TUCSON","AZ","TUCSON UNIFIED DISTRICT",586,"Transformation"
"34","PEACH SPRINGS SCHOOL","PEACH SPRINGS","AZ","PEACH SPRINGS UNIFIED DISTRICT",601,"Transformation"
"35","WHITE CONE HIGH SCHOOL","WHITE CONE","AZ","CEDAR UNIFIED DISTRICT",524,"Transformation"
"36","JAMES SANDOVAL PREPARATORY HIGH SCHOOL","PHOENIX","AZ","JAMES SANDOVAL PREPARATORY HIGH SCHOOL",503,"Transformation"
"37","SEVEN MILE SCHOOL","WHITERIVER","AZ","WHITERIVER UNIFIED DISTRICT",584,"Transformation"
"38","Rice Elementary School","San Carlos","AZ","San Carlos Unified District",226,"Transformation"
"39","HOWENSTINE HIGH SCHOOL","TUCSON","AZ","TUCSON UNIFIED DISTRICT",548,"Transformation"
"40","BABOQUIVARI HIGH SCHOOL","SELLS","AZ","INDIAN OASIS-BABOQUIVARI UNIFIED DISTRICT",417,"Turnaround"
"41","IMAGINE ELEMENTARY AT CAMELBACK","PHOENIX","AZ","IMAGINE CHARTER ELEMENTARY AT CAMELBACK  INC.",502,"Turnaround"
"42","MT TIPTON ELEMENTARY SCHOOL","DOLAN SPRINGS","AZ","KINGMAN UNIFIED SCHOOL DISTRICT",422,"Transformation"
"43","CANYON DAY JUNIOR HIGH SCHOOL","WHITERIVER","AZ","WHITERIVER UNIFIED DISTRICT",440,"Transformation"
"44","SELIGMAN HIGH SCHOOL","SELIGMAN","AZ","SELIGMAN UNIFIED DISTRICT",375,"Turnaround"
"45","FREMONT MIDDLE","POMONA","CA","POMONA UNIFIED",159,"Transformation"
"46","SIERRA INTERMEDIATE","SANTA ANA","CA","SANTA ANA UNIFIED",180,"Transformation"
"47","LONGWOOD ELEMENTARY","HAYWARD","CA","HAYWARD UNIFIED",136,"Turnaround"
"48","MCFARLAND HIGH","MCFARLAND","CA","MCFARLAND UNIFIED",651,"Transformation"
"49","PACIFIC HIGH","SAN BERNARDINO","CA","SAN BERNARDINO CITY UNIFIED",224,"Transformation"
"50","GREENFIELD ELEMENTARY","GREENFIELD","CA","GREENFIELD UNION ELEMENTARY",538,"Transformation"
"51","TUMBLEWEED ELEMENTARY","PALMDALE","CA","PALMDALE ELEMENTARY",174,"Turnaround"
"52","HILLSIDE ELEMENTARY","SAN LEANDRO","CA","SAN LORENZO UNIFIED",403,"Transformation"
"53","FLORENCE GRIFFITH JOYNER ELEMENTARY","LOS ANGELES","CA","LOS ANGELES UNIFIED",191,"Restart"
"54","SAN GORGONIO HIGH","SAN BERNARDINO","CA","SAN BERNARDINO CITY UNIFIED",224,"Transformation"
"55","FONTANA A. B. MILLER HIGH","FONTANA","CA","FONTANA UNIFIED",170,"Transformation"
"56","ELMHURST COMMUNITY PREP","OAKLAND","CA","OAKLAND UNIFIED",66,"Transformation"
"57","PAUL REVERE ELEMENTARY","SAN FRANCISCO","CA","SAN FRANCISCO UNIFIED",181,"Transformation"
"58","SAMUEL GOMPERS MIDDLE","LOS ANGELES","CA","LOS ANGELES UNIFIED",193,"Restart"
"59","DAVIDSON ELEMENTARY","SAN BERNARDINO","CA","SAN BERNARDINO CITY UNIFIED",118,"Transformation"
"60","PALM AVENUE ELEMENTARY","WASCO","CA","WASCO UNION ELEMENTARY",119,"Transformation"
"61","SHORE ACRES ELEMENTARY","BAY POINT","CA","MT. DIABLO UNIFIED",70,"Transformation"
"62","CESAR CHAVEZ ELEMENTARY","SAN FRANCISCO","CA","SAN FRANCISCO UNIFIED",165,"Transformation"
"63","BUTTONWILLOW ELEMENTARY","BUTTONWILLOW","CA","BUTTONWILLOW UNION ELEMENTARY",418,"Transformation"
"64","EDISON-RONALD MCNAIR INTERMEDIATE","EAST PALO ALTO","CA","RAVENSWOOD CITY ELEMENTARY",94,"Turnaround"
"65","CENTURY HIGH","SANTA ANA","CA","SANTA ANA UNIFIED",210,"Transformation"
"66","LAKESIDE ELEMENTARY","HANFORD","CA","LAKESIDE UNION ELEMENTARY",614,"Transformation"
"67","KING/CHAVEZ ARTS ACADEMY","SAN DIEGO","CA","SAN DIEGO UNIFIED",11,"Transformation"
"68","PHARIS F. FEDDE MIDDLE","HAWAIIAN GARDENS","CA","ABC UNIFIED",54,"Transformation"
"69","SEASIDE HIGH","SEASIDE","CA","MONTEREY PENINSULA UNIFIED",131,"Turnaround"
"70","ELLA ELEMENTARY","OLIVEHURST","CA","MARYSVILLE JOINT UNIFIED",179,"Turnaround"
"71","WILSON ELEMENTARY","SAN BERNARDINO","CA","SAN BERNARDINO CITY UNIFIED",620,"Turnaround"
"72","YOSEMITE MIDDLE","FRESNO","CA","FRESNO UNIFIED",158,"Turnaround"
"73","T. S. MACQUIDDY ELEMENTARY","WATSONVILLE","CA","PAJARO VALLEY UNIFIED",430,"Transformation"
"74","ENCINA PREPARATORY HIGH","SACRAMENTO","CA","SAN JUAN UNIFIED",10,"Turnaround"
"75","EDWIN MARKHAM MIDDLE","LOS ANGELES","CA","LOS ANGELES UNIFIED",187,"Restart"
"76","RIO VISTA ELEMENTARY","SAN BERNARDINO","CA","SAN BERNARDINO CITY UNIFIED",107,"Transformation"
"77","FELICITA ELEMENTARY","ESCONDIDO","CA","ESCONDIDO UNION",150,"Turnaround"
"78","UNITED FOR SUCCESS ACADEMY","OAKLAND","CA","OAKLAND UNIFIED",82,"Transformation"
"79","MISSION HIGH","SAN FRANCISCO","CA","SAN FRANCISCO UNIFIED",225,"Transformation"
"80","GARDENA SENIOR HIGH","GARDENA","CA","LOS ANGELES UNIFIED",145,"Transformation"
"81","BARTON ELEMENTARY","SAN BERNARDINO","CA","SAN BERNARDINO CITY UNIFIED",224,"Turnaround"
"82","ROSE FERRERO ELEMENTARY","SOLEDAD","CA","SOLEDAD UNIFIED",127,"Turnaround"
"83","GEORGE WASHINGTON CARVER ELEMENTARY","SAN FRANCISCO","CA","SAN FRANCISCO UNIFIED",128,"Turnaround"
"84","EASTSIDE HIGH","LANCASTER","CA","ANTELOPE VALLEY UNION HIGH",147,"Transformation"
"85","GLENBROOK MIDDLE","CONCORD","CA","MT. DIABLO UNIFIED",434,"Transformation"
"86","COSTANO ELEMENTARY","EAST PALO ALTO","CA","RAVENSWOOD CITY ELEMENTARY",94,"Turnaround"
"87","WILLARD INTERMEDIATE","SANTA ANA","CA","SANTA ANA UNIFIED",180,"Transformation"
"88","PESCADERO ELEMENTARY AND MIDDLE","PESCADERO","CA","LA HONDA-PESCADERO UNIFIED",459,"Transformation"
"89","BURBANK ELEMENTARY","SAN DIEGO","CA","SAN DIEGO UNIFIED",47,"Transformation"
"90","HIGHLANDS ACADEMY OF ARTS AND DESIGN","NORTH HIGHLANDS","CA","TWIN RIVERS UNIFIED",183,"Transformation"
"91","MARTIN LUTHER KING","SEASIDE","CA","MONTEREY PENINSULA UNIFIED",81,"Turnaround"
"92","BURBANK ELEMENTARY","HAYWARD","CA","HAYWARD UNIFIED",130,"Transformation"
"93","EMERSON MIDDLE","POMONA","CA","POMONA UNIFIED",122,"Transformation"
"94","SANTA ANA HIGH","SANTA ANA","CA","SANTA ANA UNIFIED",210,"Transformation"
"95","MAYWOOD ACADEMY HIGH","MAYWOOD","CA","LOS ANGELES UNIFIED",189,"Transformation"
"96","SHANDIN HILLS MIDDLE","SAN BERNARDINO","CA","SAN BERNARDINO CITY UNIFIED",224,"Turnaround"
"97","WEBSTER ELEMENTARY","FRESNO","CA","FRESNO UNIFIED",155,"Turnaround"
"98","HALL DISTRICT ELEMENTARY","WATSONVILLE","CA","PAJARO VALLEY UNIFIED",462,"Transformation"
"99","EVERETT MIDDLE","SAN FRANCISCO","CA","SAN FRANCISCO UNIFIED",104,"Turnaround"
"100","THOMAS JEFFERSON SENIOR HIGH","LOS ANGELES","CA","LOS ANGELES UNIFIED",176,"Transformation"
"101","MARSHALL ELEMENTARY","SAN BERNARDINO","CA","SAN BERNARDINO CITY UNIFIED",204,"Turnaround"
"102","SAN JUAN","SAN JUAN BAUTISTA","CA","AROMAS/SAN JUAN UNIFIED",156,"Transformation"
"103","WEST SHORES HIGH","SALTON CITY","CA","COACHELLA VALLEY UNIFIED",78,"Turnaround"
"104","EXPLORE MIDDLE","OAKLAND","CA","OAKLAND UNIFIED",373,"Closure"
"105","JOHN MUIR ELEMENTARY","SAN FRANCISCO","CA","SAN FRANCISCO UNIFIED",116,"Turnaround"
"106","LINCOLN ELEMENTARY","RICHMOND","CA","WEST CONTRA COSTA UNIFIED",68,"Turnaround"
"107","SEMITROPIC ELEMENTARY","WASCO","CA","SEMITROPIC ELEMENTARY",88,"Transformation"
"108","GEORGE WASHINGTON CARVER MIDDLE","LOS ANGELES","CA","LOS ANGELES UNIFIED",161,"Restart"
"109","BRYANT ELEMENTARY","SAN FRANCISCO","CA","SAN FRANCISCO UNIFIED",125,"Turnaround"
"110","LITTLEROCK HIGH","LITTLEROCK","CA","ANTELOPE VALLEY UNION HIGH",154,"Transformation"
"111","BEL AIR ELEMENTARY","BAY POINT","CA","MT. DIABLO UNIFIED",110,"Transformation"
"112","POMONA SENIOR HIGH","POMONA","CA","POMONA UNIFIED",196,"Transformation"
"113","VALLEY HIGH","SANTA ANA","CA","SANTA ANA UNIFIED",210,"Transformation"
"114","TENNYSON HIGH","HAYWARD","CA","HAYWARD UNIFIED",171,"Transformation"
"115","HIGHLAND ELEMENTARY","SEASIDE","CA","MONTEREY PENINSULA UNIFIED",81,"Turnaround"
"116","ARROYO VALLEY HIGH","SAN BERNARDINO","CA","SAN BERNARDINO CITY UNIFIED",198,"Transformation"
"117","VISTA VERDE MIDDLE","GREENFIELD","CA","GREENFIELD UNION ELEMENTARY",573,"Transformation"
"118","CACTUS MIDDLE","PALMDALE","CA","PALMDALE ELEMENTARY",182,"Turnaround"
"119","SADDLEBACK HIGH","SANTA ANA","CA","SANTA ANA UNIFIED",210,"Transformation"
"120","ROBERT LOUIS STEVENSON MIDDLE","LOS ANGELES","CA","LOS ANGELES UNIFIED",194,"Restart"
"121","SERRANO MIDDLE","HIGHLAND","CA","SAN BERNARDINO CITY UNIFIED",173,"Turnaround"
"122","CARVER ACADEMY","FRESNO","CA","FRESNO UNIFIED",18,"Turnaround"
"123","CALABASAS ELEMENTARY","WATSONVILLE","CA","PAJARO VALLEY UNIFIED",464,"Transformation"
"124","JOHN O'CONNELL ALTERNATIVE HIGH","SAN FRANCISCO","CA","SAN FRANCISCO UNIFIED",137,"Transformation"
"125","HILLCREST DRIVE ELEMENTARY","LOS ANGELES","CA","LOS ANGELES UNIFIED",192,"Transformation"
"126","HUNT ELEMENTARY","SAN BERNARDINO","CA","SAN BERNARDINO CITY UNIFIED",103,"Turnaround"
"127","RIVERSIDE COUNTY COMMUNITY","RIVERSIDE","CA","RIVERSIDE COUNTY OFFICE OF EDUCATION",106,"Transformation"
"128","CHUALAR ELEMENTARY","CHUALAR","CA","CHUALAR UNION ELEMENTARY",233,"Transformation"
"129","RIO VISTA ELEMENTARY","BAY POINT","CA","MT. DIABLO UNIFIED",349,"Transformation"
"130","HORACE MANN MIDDLE","SAN FRANCISCO","CA","SAN FRANCISCO UNIFIED",76,"Transformation"
"131","STANFORD NEW SCHOOL","MENLO PARK","CA","RAVENSWOOD CITY ELEMENTARY",21,"Transformation"
"132","CESAR ESTRADA CHAVEZ DUAL LANGUAGE IMMERSION CHART","SANTA BARBARA","CA","SANTA BARBARA ELEMENTARY",312,"Transformation"
"133","JEFFERSON ELEMENTARY","LINDSAY","CA","LINDSAY UNIFIED",27,"Turnaround"
"134","BROWN, JR., (WILLIE L.) ELEMENTARY","SAN FRANCISCO","CA","SAN FRANCISCO UNIFIED",380,"Closure"
"135","NORTE VISTA HIGH","RIVERSIDE","CA","ALVORD UNIFIED",188,"Turnaround"
"136","MARCH MOUNTAIN HIGH","MORENO VALLEY","CA","MORENO VALLEY UNIFIED",371,"Transformation"
"137","NORTH HIGH SCHOOL","DENVER","CO","SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C",619,"Transformation"
"138","HASKIN ELEMENTARY SCHOOL","CENTER","CO","CENTER CONSOLIDATED SCHOOL DISTRICT NO. 26 JT., OF THE COUNT",407,"Transformation"
"139","RONCALLI MIDDLE SCHOOL","PUEBLO","CO","PUEBLO, SCHOOL DISTRICT NO. 60, IN THE COUNTY OF PUEBLO AND",493,"Transformation"
"140","CENTRAL HIGH SCHOOL","PUEBLO","CO","PUEBLO, SCHOOL DISTRICT NO. 60, IN THE COUNTY OF PUEBLO AND",592,"Transformation"
"141","MONTBELLO HIGH SCHOOL","DENVER","CO","SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C",6,"Transformation"
"142","LAKE MIDDLE SCHOOL","DENVER","CO","SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C",452,"Restart"
"143","HANSON ELEMENTARY SCHOOL","COMMERCE CITY","CO","SCHOOL DISTRICT N. 14 IN THE COUNTY OF ADAMS & STATE OF COLO",472,"Transformation"
"144","LEMUEL PITTS MIDDLE SCHOOL","PUEBLO","CO","PUEBLO, SCHOOL DISTRICT NO. 60, IN THE COUNTY OF PUEBLO AND",455,"Turnaround"
"145","CLIFTON ELEMENTARY SCHOOL","CLIFTON","CO","MESA COUNTY VALLEY SCHOOL DISTRICT NO. 51",581,"Transformation"
"146","RISHEL MIDDLE SCHOOL","DENVER","CO","SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C",97,"Closure"
"147","GREENLEE K-8 SCHOOL","DENVER","CO","SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C",490,"Turnaround"
"148","FORT LOGAN ELEMENTARY SCHOOL","ENGLEWOOD","CO","SHERIDAN SCHOOL DISTRICT NO. 2",523,"Turnaround"
"149","JAMES H RISLEY MIDDLE SCHOOL","PUEBLO","CO","PUEBLO, SCHOOL DISTRICT NO. 60, IN THE COUNTY OF PUEBLO AND",444,"Turnaround"
"150","SKYLAND COMMUNITY HIGH SCHOOL","DENVER","CO","SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C",278,"Closure"
"151","PHILIPS ELEMENTARY SCHOOL","DENVER","CO","SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C",280,"Closure"
"152","GILPIN K-8 SCHOOL","DENVER","CO","SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C",302,"Turnaround"
"153","YOUTH & FAMILY ACADEMY CHARTER","PUEBLO","CO","PUEBLO, SCHOOL DISTRICT NO. 60, IN THE COUNTY OF PUEBLO AND",370,"Transformation"
"154","FREED MIDDLE SCHOOL","PUEBLO","CO","PUEBLO, SCHOOL DISTRICT NO. 60, IN THE COUNTY OF PUEBLO AND",439,"Turnaround"
"155","NOEL MIDDLE SCHOOL","DENVER","CO","SCHOOL DISTRICT NO. 1 IN THE COUNTY OF DENVER AND STATE OF C",583,"Transformation"
"156","BURNS SCHOOL","HARTFORD","CT","HARTFORD SCHOOL DISTRICT",340,"Turnaround"
"157","BARNUM SCHOOL","BRIDGEPORT","CT","BRIDGEPORT SCHOOL DISTRICT",381,"Transformation"
"158","KATHERINE BRENNAN SCHOOL","NEW HAVEN","CT","NEW HAVEN SCHOOL DISTRICT",438,"Turnaround"
"159","DR. RAMON E. BETANCES SCHOOL","HARTFORD","CT","HARTFORD SCHOOL DISTRICT",320,"Turnaround"
"160","STAMFORD ACADEMY","STAMFORD","CT","STAMFORD ACADEMY",320,"Transformation"
"161","JAMES HILLHOUSE HIGH SCHOOL","NEW HAVEN","CT","NEW HAVEN SCHOOL DISTRICT",509,"Transformation"
"162","MILNER SCHOOL","HARTFORD","CT","HARTFORD SCHOOL DISTRICT",341,"Turnaround"
"163","HARDING HIGH SCHOOL","BRIDGEPORT","CT","BRIDGEPORT SCHOOL DISTRICT",569,"Restart"
"164","NATCHAUG SCHOOL","WILLIMANTIC","CT","WINDHAM SCHOOL DISTRICT",509,"Transformation"
"165","HILL CENTRAL MUSIC ACADEMY","NEW HAVEN","CT","NEW HAVEN SCHOOL DISTRICT",438,"Turnaround"
"166","SAND SCHOOL","HARTFORD","CT","HARTFORD SCHOOL DISTRICT",320,"Turnaround"
"167","BASSICK HIGH SCHOOL","BRIDGEPORT","CT","BRIDGEPORT SCHOOL DISTRICT",509,"Transformation"
"168","WILBUR CROSS HIGH SCHOOL","NEW HAVEN","CT","NEW HAVEN SCHOOL DISTRICT",509,"Transformation"
"169","SMALLEY ACADEMY","NEW BRITAIN","CT","NEW BRITAIN SCHOOL DISTRICT",509,"Transformation"
"170","ANACOSTIA SHS","DISTRICT OF COLUMBIA","DC","DISTRICT OF COLUMBIA PUBLIC SCHOOLS",394,"Restart"
"171","BROWNE EC","DISTRICT OF COLUMBIA","DC","DISTRICT OF COLUMBIA PUBLIC SCHOOLS",352,"Transformation"
"172","DUNBAR SHS","DISTRICT OF COLUMBIA","DC","DISTRICT OF COLUMBIA PUBLIC SCHOOLS",394,"Restart"
"173","HAMILTON CENTER SPEC ED AT HAMILTON SCHOOL","DISTRICT OF COLUMBIA","DC","DISTRICT OF COLUMBIA PUBLIC SCHOOLS",281,"Turnaround"
"174","SPINGARN SHS","DISTRICT OF COLUMBIA","DC","DISTRICT OF COLUMBIA PUBLIC SCHOOLS",453,"Transformation"
"175","EASTERN SHS","DISTRICT OF COLUMBIA","DC","DISTRICT OF COLUMBIA PUBLIC SCHOOLS",195,"Turnaround"
"176","LUKE C. MOORE ACADEMY SHS","DISTRICT OF COLUMBIA","DC","DISTRICT OF COLUMBIA PUBLIC SCHOOLS",415,"Turnaround"
"177","PROSPECT LC","DISTRICT OF COLUMBIA","DC","DISTRICT OF COLUMBIA PUBLIC SCHOOLS",178,"Transformation"
"178","OPTIONS PCS","DISTRICT OF COLUMBIA","DC","OPTIONS PCS",408,"Turnaround"
"179","KENILWORTH ES","DISTRICT OF COLUMBIA","DC","DISTRICT OF COLUMBIA PUBLIC SCHOOLS",268,"Restart"
"180","SEAFORD SENIOR HIGH SCHOOL","SEAFORD","DE","SEAFORD SCHOOL DISTRICT",461,"Transformation"
"181","MOUNT PLEASANT HIGH SCHOOL","WILMINGTON","DE","BRANDYWINE SCHOOL DISTRICT",492,"Transformation"
"182","LITTLE RIVER ELEMENTARY SCHOOL","MIAMI","FL","DADE",316,"Transformation"
"183","HARDEE SENIOR HIGH SCHOOL","WAUCHULA","FL","HARDEE",528,"Transformation"
"184","MIAMI SOUTHRIDGE SENIOR HIGH","MIAMI","FL","DADE",44,"Turnaround"
"185","POINCIANA HIGH SCHOOL","KISSIMMEE","FL","OSCEOLA",484,"Transformation"
"186","EAST GADSDEN HIGH SCHOOL","HAVANA","FL","GADSDEN",536,"Transformation"
"187","COLUMBIA HIGH SCHOOL","LAKE CITY","FL","COLUMBIA",547,"Transformation"
"188","MIAMI JACKSON SENIOR HIGH SCHOOL","MIAMI","FL","DADE",579,"Transformation"
"189","MEMORIAL MIDDLE SCHOOL","ORLANDO","FL","ORANGE",478,"Transformation"
"190","LARKDALE ELEMENTARY SCHOOL","FORT LAUDERDALE","FL","BROWARD",516,"Transformation"
"191","EDWARD H. WHITE HIGH SCHOOL","JACKSONVILLE","FL","DUVAL",547,"Transformation"
"192","ST. JOHNS TECHNICAL HIGH SCHOOL","ST AUGUSTINE","FL","ST. JOHNS",525,"Transformation"
"193","HOMESTEAD SENIOR HIGH SCHOOL","HOMESTEAD","FL","DADE",587,"Transformation"
"194","LEESBURG HIGH SCHOOL","LEESBURG","FL","LAKE",529,"Transformation"
"195","CHARLES W. DUVAL ELEMENTARY SCHOOL","GAINESVILLE","FL","ALACHUA",547,"Transformation"
"196","SMART POPE LIVINGSTON ELEMENTARY","JACKSONVILLE","FL","DUVAL",381,"Transformation"
"197","DIXIE M. HOLLINS HIGH SCHOOL","ST PETERSBURG","FL","PINELLAS",381,"Transformation"
"198","DR. HENRY W. MACK/WEST LITTLE RIVER ELEMENTARY SCH","MIAMI","FL","DADE",247,"Transformation"
"199","CENTRAL HIGH SCHOOL","BROOKSVILLE","FL","HERNANDO",535,"Transformation"
"200","NORTH SHORE K-8","JACKSONVILLE","FL","DUVAL",512,"Turnaround"
"201","GLADES CENTRAL HIGH SCHOOL","BELLE GLADE","FL","PALM BEACH",488,"Transformation"
"202","NORTH MIAMI SENIOR HIGH SCHOOL","NORTH MIAMI","FL","DADE",25,"Transformation"
"203","GATEWAY HIGH SCHOOL","KISSIMMEE","FL","OSCEOLA",484,"Transformation"
"204","EDEN PARK ELEMENTARY SCHOOL","IMMOKALEE","FL","COLLIER",448,"Transformation"
"205","WEST GADSDEN HIGH SCHOOL","GREENSBORO","FL","GADSDEN",536,"Transformation"
"206","MIAMI EDISON SENIOR HIGH SCHOOL","MIAMI","FL","DADE",450,"Turnaround"
"207","MADISON COUNTY HIGH SCHOOL","MADISON","FL","MADISON",392,"Transformation"
"208","SUNLAND PARK ELEMENTARY SCHOOL","FORT LAUDERDALE","FL","BROWARD",516,"Transformation"
"209","NATHAN B. FORREST HIGH SCHOOL","JACKSONVILLE","FL","DUVAL",547,"Transformation"
"210","OSCAR J. POPE ELEMENTARY SCHOOL","LAKELAND","FL","POLK",533,"Transformation"
"211","NORTH MIAMI MIDDLE SCHOOL","NORTH MIAMI","FL","DADE",346,"Transformation"
"212","JEFFERSON COUNTY MIDDLE/HIGH SCHOOL","MONTICELLO","FL","JEFFERSON",474,"Transformation"
"213","LONG BRANCH ELEMENTARY SCHOOL","JACKSONVILLE","FL","DUVAL",381,"Turnaround"
"214","BOCA CIEGA HIGH SCHOOL","GULFPORT","FL","PINELLAS",381,"Transformation"
"215","PINE VILLA ELEMENTARY SCHOOL","MIAMI","FL","DADE",252,"Transformation"
"216","HERNANDO HIGH SCHOOL","BROOKSVILLE","FL","HERNANDO",535,"Transformation"
"217","ANDREW JACKSON HIGH SCHOOL","JACKSONVILLE","FL","DUVAL",468,"Turnaround"
"218","LAKE WORTH HIGH SCHOOL","LAKE WORTH","FL","PALM BEACH",17,"Transformation"
"219","HOLMES ELEMENTARY SCHOOL","MIAMI","FL","DADE",259,"Transformation"
"220","HAMILTON COUNTY HIGH SCHOOL","JASPER","FL","HAMILTON",506,"Transformation"
"221","OAK RIDGE HIGH SCHOOL","ORLANDO","FL","ORANGE",480,"Transformation"
"222","MIAMI NORTHWESTERN SENIOR HIGH","MIAMI","FL","DADE",565,"Turnaround"
"223","IMMOKALEE HIGH SCHOOL","IMMOKALEE","FL","COLLIER",423,"Transformation"
"224","WARRINGTON MIDDLE SCHOOL","PENSACOLA","FL","ESCAMBIA",547,"Turnaround"
"225","MIAMI CENTRAL SENIOR HIGH SCHOOL","MIAMI","FL","DADE",558,"Turnaround"
"226","WILLISTON HIGH SCHOOL","WILLISTON","FL","LEVY",477,"Transformation"
"227","MARJORIE KINNAN RAWLINGS ELEMENTARY SCHOOL","GAINESVILLE","FL","ALACHUA",457,"Transformation"
"228","WILLIAM M. RAINES HIGH SCHOOL","JACKSONVILLE","FL","DUVAL",494,"Turnaround"
"229","LAKEWOOD HIGH SCHOOL","ST PETERSBURG","FL","PINELLAS",381,"Transformation"
"230","MIAMI EDISON MIDDLE SCHOOL","MIAMI","FL","DADE",323,"Turnaround"
"231","MIDDLETON HIGH SCHOOL","TAMPA","FL","HILLSBOROUGH",547,"Transformation"
"232","JEAN RIBAULT HIGH SCHOOL","JACKSONVILLE","FL","DUVAL",515,"Turnaround"
"233","RIDGEWOOD HIGH SCHOOL","NEW PORT RICHEY","FL","PASCO",547,"Transformation"
"234","NORTH COUNTY ELEMENTARY SCHOOL","MIAMI GARDENS","FL","DADE",243,"Turnaround"
